CUST_ID,NAME,TOTAL_REV,AVG_REV
16102,Gemini Computer                         ,9456.53,3234.45
16312,Arpin Movers                            ,7342.12,3234.45
16351,Fitch Realtors                          ,5370.77,3234.45
16269,Burnham Boilers                         ,5221.21,3234.45
16025,Lyon Barrell Co.                        ,5124.59,3234.45
16113,Discount Plus                           ,4919.31,3234.45
16153,Lenny's Oil Service                     ,4918.75,3234.45
16394,Reynolds & Reynolds                     ,4896.97,3234.45
16146,Wonderland Motel                        ,4873.72,3234.45
16323,Contemporary Furniture                  ,4826,3234.45
16201,Holbrook Insurance                      ,4763.81,3234.45
16091,International Stencil                   ,4762.74,3234.45
16057,East Side Clinic                        ,4698.2,3234.45
16062,J Marino & Sons                         ,4676.58,3234.45
16180,Higgins Mobile Homes                    ,4633.19,3234.45
16198,The Sweat Shop                          ,4631.66,3234.45
16089,Chicken Power Retail                    ,4627.06,3234.45
16268,Teresa's School of Dance                ,4595.46,3234.45
16014,Professional Karate                     ,4587.71,3234.45
16059,Conlon & Donnelly                       ,4584.18,3234.45
16338,Mon Kow Restaurant                      ,4555.99,3234.45
16048,Horizons Optical                        ,4501.89,3234.45
16281,Adventure Photography                   ,4499.59,3234.45
16257,The Card Shop                           ,4490.11,3234.45
16352,Atlas Pallet                            ,4469.47,3234.45
16270,White Roofing                           ,4404.89,3234.45
16215,My Three Sons                           ,4389.54,3234.45
16225,Sloane Professional Services            ,4356.2,3234.45
16365,Interior Decors                         ,4348.34,3234.45
16010,Flooring Wholesalers                    ,4307.79,3234.45
16300,Dobson Fence Co.                        ,4279.46,3234.45
16279,Linsco                                  ,4265.53,3234.45
16028,JC Case Company                         ,4264.7,3234.45
16243,Valley Propane                          ,4226.01,3234.45
16247,Tobin Interiors                         ,4206.81,3234.45
16329,Stanley's Boat Yard                     ,4205.65,3234.45
16056,Armstrong Services                      ,4204.56,3234.45
16282,Magic Carpets                           ,4201.62,3234.45
16379,Lambert Engraving                       ,4192.98,3234.45
16350,Elvin TV&Appliance                      ,4189.33,3234.45
16186,Morel Cycle                             ,4183.46,3234.45
16246,Magic Auto Centers                      ,4172.22,3234.45
16360,Brook Manor Diner                       ,4163.88,3234.45
16060,A&L Compressed Gasses                   ,4162.73,3234.45
16118,Pacific Elevator                        ,4141.17,3234.45
16272,Premier Studio                          ,4140.48,3234.45
16074,Van Dora Nursing Home                   ,4126.04,3234.45
16382,Pacific County Oil and Heating          ,4118.33,3234.45
16012,Ingalls Group                           ,4108.63,3234.45
16320,Bud's Appliance Repairs                 ,4101.61,3234.45
16305,Pacific Design Engineers                ,4080.3,3234.45
16316,Cranston Coatings                       ,4070.75,3234.45
16058,Major Electric Supply                   ,4066.83,3234.45
16334,Carey Co.                               ,4045.91,3234.45
16049,Plainville Liquors                      ,4037.72,3234.45
16061,United Steelworkers                     ,4023.29,3234.45
16217,Haskins Pharmacy                        ,4020.93,3234.45
16371,Sterling Custom Homes                   ,4018.45,3234.45
16262,Acme Parking Supplies                   ,4015.77,3234.45
16242,Fireball Heat Treating                  ,4005.73,3234.45
16162,Larry's Laundromat                      ,3990.24,3234.45
16259,Boss Office Furniture                   ,3989.82,3234.45
16213,Art's Gun Shop                          ,3988.72,3234.45
16160,Dezotell Excavation                     ,3988.3,3234.45
16148,Art's Floor Building                    ,3983.53,3234.45
16229,Gerald Insurance                        ,3983.46,3234.45
16152,E&E Fence Co.                           ,3981.19,3234.45
16342,Echo Power Equipment                    ,3970.06,3234.45
16193,Fuller Hospital                         ,3959.96,3234.45
16327,Boynton Communications                  ,3955.83,3234.45
16290,Fairground Trader                       ,3944.41,3234.45
16267,News Today Dealers                      ,3943.86,3234.45
16053,Gaipo Automotive                        ,3922.34,3234.45
16082,Kelly Insurance                         ,3895.89,3234.45
16090,Lyons Group LTD                         ,3888.48,3234.45
